Dato,ALT,DF,EL,KD,KF,LA,NB,RV,S,SF,UFG,V,udpeget af SF,Date
2004-01-31,0.0,6.0,12.0,2.0,0.0,0.0,0.0,3.0,14.0,12.0,2.0,0.0,0.0,2004-01-31
2004-02-29,0.0,5.0,15.0,3.0,0.0,0.0,0.0,2.0,12.0,16.0,1.0,3.0,0.0,2004-02-29
2004-03-31,0.0,3.0,16.0,0.0,0.0,0.0,0.0,2.0,22.0,6.0,2.0,2.0,0.0,2004-03-31
2004-04-30,0.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,30.0,4.0,0.0,0.0,0.0,2004-04-30
2004-05-31,0.0,20.0,26.0,2.0,2.0,0.0,0.0,1.0,32.0,15.0,1.0,6.0,0.0,2004-05-31
2004-06-30,0.0,5.0,19.0,0.0,0.0,0.0,0.0,7.0,28.0,7.0,3.0,9.0,0.0,2004-06-30
2004-07-31,0.0,22.0,12.0,6.0,0.0,0.0,0.0,4.0,42.0,15.0,2.0,0.0,0.0,2004-07-31
2004-08-31,0.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,23.0,22.0,3.0,0.0,0.0,2004-08-31
2004-09-30,0.0,3.0,13.0,4.0,1.0,0.0,0.0,1.0,4.0,9.0,4.0,2.0,0.0,2004-09-30
2004-10-31,0.0,42.0,87.0,14.0,9.0,0.0,0.0,29.0,85.0,72.0,13.0,4.0,0.0,2004-10-31
2004-11-30,0.0,33.0,87.0,18.0,0.0,0.0,0.0,18.0,160.0,94.0,12.0,2.0,0.0,2004-11-30
2004-12-31,0.0,27.0,93.0,10.0,0.0,0.0,0.0,18.0,63.0,123.0,8.0,8.0,0.0,2004-12-31
2005-01-31,0.0,54.0,71.0,3.0,2.0,0.0,0.0,17.0,92.0,62.0,6.0,15.0,0.0,2005-01-31
2005-02-28,0.0,34.0,99.0,0.0,0.0,0.0,0.0,32.0,75.0,43.0,11.0,2.0,0.0,2005-02-28
2005-03-31,0.0,88.0,146.0,0.0,4.0,0.0,0.0,16.0,131.0,70.0,15.0,5.0,0.0,2005-03-31
2005-04-30,0.0,95.0,211.0,1.0,9.0,0.0,0.0,66.0,128.0,102.0,32.0,14.0,0.0,2005-04-30
2005-05-31,0.0,111.0,248.0,2.0,18.0,0.0,0.0,34.0,150.0,87.0,40.0,7.0,0.0,2005-05-31
2005-06-30,0.0,87.0,172.0,0.0,7.0,0.0,0.0,25.0,96.0,83.0,7.0,5.0,0.0,2005-06-30
2005-07-31,0.0,99.0,197.0,1.0,5.0,0.0,0.0,32.0,79.0,76.0,5.0,3.0,0.0,2005-07-31
2005-08-31,0.0,105.0,168.0,0.0,16.0,0.0,0.0,27.0,83.0,79.0,14.0,12.0,0.0,2005-08-31
2005-09-30,0.0,62.0,160.0,0.0,4.0,0.0,0.0,33.0,95.0,75.0,7.0,11.0,0.0,2005-09-30
2005-10-31,0.0,100.0,137.0,0.0,8.0,0.0,0.0,41.0,135.0,86.0,16.0,14.0,0.0,2005-10-31
2005-11-30,0.0,80.0,158.0,1.0,3.0,0.0,0.0,58.0,113.0,110.0,19.0,2.0,0.0,2005-11-30
2005-12-31,0.0,92.0,140.0,0.0,3.0,0.0,0.0,50.0,122.0,74.0,3.0,1.0,0.0,2005-12-31
2006-01-31,0.0,106.0,223.0,0.0,1.0,0.0,0.0,36.0,182.0,74.0,2.0,8.0,0.0,2006-01-31
2006-02-28,0.0,130.0,193.0,0.0,0.0,0.0,0.0,32.0,157.0,102.0,7.0,1.0,0.0,2006-02-28
2006-03-31,0.0,151.0,230.0,0.0,2.0,0.0,0.0,44.0,247.0,186.0,4.0,2.0,0.0,2006-03-31
2006-04-30,0.0,124.0,148.0,0.0,0.0,0.0,0.0,29.0,185.0,109.0,8.0,4.0,0.0,2006-04-30
2006-05-31,0.0,143.0,160.0,0.0,0.0,0.0,0.0,78.0,196.0,129.0,11.0,4.0,0.0,2006-05-31
2006-06-30,0.0,110.0,239.0,0.0,0.0,0.0,0.0,43.0,277.0,65.0,10.0,5.0,0.0,2006-06-30
2006-07-31,0.0,127.0,159.0,0.0,13.0,0.0,0.0,43.0,110.0,75.0,2.0,3.0,0.0,2006-07-31
2006-08-31,0.0,132.0,160.0,0.0,2.0,0.0,0.0,33.0,154.0,91.0,4.0,6.0,0.0,2006-08-31
2006-09-30,0.0,68.0,102.0,0.0,0.0,0.0,0.0,15.0,158.0,50.0,4.0,1.0,0.0,2006-09-30
2006-10-31,0.0,99.0,217.0,0.0,3.0,0.0,0.0,38.0,163.0,56.0,16.0,0.0,0.0,2006-10-31
2006-11-30,0.0,102.0,198.0,0.0,3.0,0.0,0.0,41.0,203.0,94.0,11.0,8.0,0.0,2006-11-30
2006-12-31,0.0,87.0,83.0,0.0,2.0,0.0,0.0,34.0,94.0,58.0,2.0,3.0,0.0,2006-12-31
2007-01-31,0.0,86.0,218.0,0.0,0.0,0.0,0.0,30.0,207.0,86.0,13.0,1.0,0.0,2007-01-31
2007-02-28,0.0,168.0,231.0,0.0,2.0,0.0,0.0,19.0,163.0,78.0,6.0,4.0,0.0,2007-02-28
2007-03-31,0.0,94.0,220.0,0.0,0.0,0.0,0.0,22.0,247.0,74.0,6.0,3.0,0.0,2007-03-31
2007-04-30,0.0,55.0,132.0,0.0,0.0,0.0,0.0,18.0,136.0,45.0,2.0,3.0,0.0,2007-04-30
2007-05-31,0.0,64.0,123.0,0.0,0.0,0.0,0.0,35.0,110.0,78.0,5.0,0.0,0.0,2007-05-31
2007-06-30,0.0,120.0,132.0,0.0,2.0,0.0,0.0,7.0,117.0,59.0,3.0,0.0,0.0,2007-06-30
2007-07-31,0.0,70.0,89.0,0.0,0.0,0.0,0.0,28.0,92.0,18.0,1.0,0.0,0.0,2007-07-31
2007-08-31,0.0,97.0,148.0,0.0,0.0,0.0,0.0,27.0,153.0,55.0,1.0,2.0,0.0,2007-08-31
2007-09-30,0.0,49.0,91.0,0.0,0.0,0.0,0.0,14.0,118.0,20.0,5.0,1.0,0.0,2007-09-30
2007-10-31,0.0,40.0,77.0,0.0,2.0,0.0,0.0,7.0,98.0,26.0,5.0,10.0,0.0,2007-10-31
2007-11-30,0.0,47.0,55.0,0.0,0.0,0.0,0.0,13.0,90.0,31.0,6.0,1.0,0.0,2007-11-30
2007-12-31,0.0,30.0,99.0,0.0,0.0,0.0,0.0,12.0,89.0,55.0,10.0,1.0,0.0,2007-12-31
2008-01-31,0.0,54.0,99.0,0.0,1.0,0.0,0.0,5.0,110.0,27.0,10.0,1.0,4.0,2008-01-31
2008-02-29,0.0,60.0,80.0,0.0,2.0,1.0,0.0,7.0,92.0,36.0,3.0,0.0,2.0,2008-02-29
2008-03-31,0.0,48.0,85.0,0.0,1.0,0.0,0.0,4.0,107.0,25.0,1.0,0.0,1.0,2008-03-31
2008-04-30,0.0,89.0,94.0,0.0,2.0,0.0,0.0,11.0,119.0,30.0,5.0,0.0,3.0,2008-04-30
2008-05-31,0.0,71.0,132.0,0.0,0.0,0.0,0.0,18.0,147.0,46.0,6.0,0.0,1.0,2008-05-31
2008-06-30,0.0,24.0,72.0,0.0,0.0,0.0,0.0,3.0,60.0,30.0,0.0,0.0,0.0,2008-06-30
2008-07-31,0.0,53.0,61.0,0.0,0.0,0.0,0.0,0.0,48.0,23.0,0.0,0.0,2.0,2008-07-31
2008-08-31,0.0,49.0,98.0,0.0,0.0,2.0,0.0,2.0,73.0,30.0,3.0,0.0,0.0,2008-08-31
2008-09-30,0.0,23.0,42.0,0.0,0.0,1.0,0.0,2.0,33.0,12.0,0.0,0.0,1.0,2008-09-30
2008-10-31,0.0,63.0,104.0,0.0,1.0,1.0,0.0,5.0,143.0,21.0,2.0,0.0,2.0,2008-10-31
2008-11-30,0.0,59.0,131.0,0.0,0.0,0.0,0.0,19.0,157.0,43.0,2.0,0.0,2.0,2008-11-30
2008-12-31,0.0,33.0,45.0,0.0,0.0,1.0,0.0,3.0,89.0,28.0,1.0,0.0,4.0,2008-12-31
2009-01-31,0.0,60.0,99.0,0.0,0.0,0.0,0.0,17.0,119.0,41.0,1.0,0.0,0.0,2009-01-31
2009-02-28,0.0,39.0,107.0,0.0,0.0,1.0,0.0,13.0,89.0,17.0,2.0,1.0,0.0,2009-02-28
2009-03-31,0.0,38.0,99.0,0.0,0.0,6.0,0.0,18.0,177.0,34.0,2.0,0.0,0.0,2009-03-31
2009-04-30,0.0,51.0,99.0,0.0,0.0,1.0,0.0,17.0,110.0,44.0,1.0,0.0,6.0,2009-04-30
2009-05-31,0.0,38.0,64.0,0.0,0.0,0.0,0.0,12.0,103.0,41.0,6.0,0.0,3.0,2009-05-31
2009-06-30,0.0,21.0,111.0,0.0,0.0,0.0,0.0,16.0,126.0,40.0,2.0,4.0,3.0,2009-06-30
2009-07-31,0.0,29.0,71.0,0.0,0.0,2.0,0.0,7.0,80.0,21.0,0.0,0.0,0.0,2009-07-31
2009-08-31,0.0,81.0,96.0,0.0,0.0,0.0,0.0,10.0,62.0,30.0,1.0,0.0,0.0,2009-08-31
2009-09-30,0.0,21.0,43.0,0.0,0.0,0.0,0.0,20.0,57.0,17.0,4.0,0.0,2.0,2009-09-30
2009-10-31,0.0,41.0,93.0,0.0,0.0,0.0,0.0,12.0,85.0,48.0,1.0,0.0,0.0,2009-10-31
2009-11-30,0.0,32.0,64.0,0.0,0.0,0.0,0.0,4.0,96.0,65.0,4.0,2.0,2.0,2009-11-30
2009-12-31,0.0,20.0,55.0,0.0,0.0,0.0,0.0,18.0,88.0,30.0,3.0,2.0,1.0,2009-12-31
2010-01-31,0.0,37.0,68.0,6.0,1.0,4.0,0.0,15.0,190.0,67.0,4.0,3.0,1.0,2010-01-31
2010-02-28,0.0,23.0,39.0,0.0,0.0,5.0,0.0,10.0,138.0,42.0,5.0,1.0,0.0,2010-02-28
2010-03-31,0.0,23.0,75.0,0.0,0.0,2.0,0.0,21.0,164.0,44.0,5.0,0.0,0.0,2010-03-31
2010-04-30,0.0,42.0,75.0,0.0,0.0,3.0,0.0,15.0,159.0,44.0,4.0,4.0,9.0,2010-04-30
2010-05-31,0.0,31.0,29.0,0.0,0.0,2.0,0.0,10.0,156.0,51.0,5.0,1.0,4.0,2010-05-31
2010-06-30,0.0,16.0,69.0,2.0,0.0,0.0,0.0,8.0,57.0,20.0,5.0,0.0,4.0,2010-06-30
2010-07-31,0.0,20.0,27.0,2.0,0.0,0.0,0.0,3.0,54.0,16.0,7.0,1.0,0.0,2010-07-31
2010-08-31,0.0,12.0,58.0,1.0,0.0,0.0,0.0,15.0,63.0,29.0,4.0,3.0,2.0,2010-08-31
2010-09-30,0.0,19.0,40.0,1.0,0.0,1.0,0.0,6.0,90.0,16.0,6.0,3.0,2.0,2010-09-30
2010-10-31,0.0,28.0,80.0,0.0,0.0,1.0,0.0,13.0,93.0,44.0,2.0,0.0,3.0,2010-10-31
2010-11-30,0.0,16.0,59.0,0.0,1.0,2.0,0.0,7.0,155.0,49.0,3.0,0.0,4.0,2010-11-30
2010-12-31,0.0,15.0,62.0,0.0,3.0,0.0,0.0,9.0,98.0,26.0,4.0,1.0,0.0,2010-12-31
2011-01-31,0.0,39.0,82.0,0.0,1.0,0.0,0.0,10.0,94.0,27.0,0.0,23.0,0.0,2011-01-31
2011-02-28,0.0,49.0,52.0,2.0,6.0,6.0,0.0,2.0,53.0,27.0,0.0,30.0,0.0,2011-02-28
2011-03-31,0.0,33.0,48.0,5.0,4.0,3.0,0.0,4.0,78.0,31.0,1.0,15.0,0.0,2011-03-31
2011-04-30,0.0,38.0,42.0,1.0,0.0,4.0,0.0,1.0,59.0,21.0,3.0,48.0,0.0,2011-04-30
2011-05-31,0.0,21.0,45.0,1.0,0.0,0.0,0.0,2.0,62.0,25.0,3.0,2.0,1.0,2011-05-31
2011-06-30,0.0,20.0,40.0,2.0,0.0,6.0,0.0,8.0,30.0,16.0,4.0,32.0,1.0,2011-06-30
2011-07-31,0.0,27.0,48.0,0.0,6.0,6.0,0.0,0.0,31.0,14.0,0.0,78.0,0.0,2011-07-31
2011-08-31,0.0,17.0,23.0,3.0,0.0,1.0,0.0,1.0,41.0,17.0,5.0,45.0,1.0,2011-08-31
2011-09-30,0.0,17.0,14.0,0.0,3.0,2.0,0.0,1.0,14.0,7.0,0.0,42.0,0.0,2011-09-30
2011-10-31,0.0,67.0,58.0,0.0,6.0,5.0,0.0,2.0,13.0,5.0,0.0,234.0,0.0,2011-10-31
2011-11-30,0.0,117.0,67.0,2.0,17.0,9.0,0.0,3.0,23.0,13.0,0.0,304.0,1.0,2011-11-30
2011-12-31,0.0,26.0,29.0,0.0,3.0,4.0,0.0,6.0,26.0,3.0,1.0,91.0,0.0,2011-12-31
2012-01-31,0.0,123.0,73.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,2012-01-31
2012-02-29,0.0,123.0,103.0,0.0,6.0,26.0,0.0,0.0,1.0,0.0,0.0,239.0,0.0,2012-02-29
2012-03-31,0.0,110.0,60.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,2012-03-31
2012-04-30,0.0,83.0,38.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,2012-04-30
2012-05-31,0.0,71.0,43.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,2012-05-31
2012-06-30,0.0,55.0,26.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,2012-06-30
2012-07-31,0.0,46.0,35.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,58.0,0.0,2012-07-31
2012-08-31,0.0,70.0,33.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,2012-08-31
2012-09-30,0.0,20.0,28.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,2012-09-30
2012-10-31,0.0,73.0,35.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,3.0,139.0,0.0,2012-10-31
2012-11-30,0.0,70.0,37.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,2012-11-30
2012-12-31,0.0,46.0,31.0,0.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,2012-12-31
2013-01-31,0.0,54.0,49.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,1.0,203.0,0.0,2013-01-31
2013-02-28,0.0,32.0,35.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,2013-02-28
2013-03-31,0.0,40.0,27.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,118.0,0.0,2013-03-31
2013-04-30,0.0,65.0,37.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,2013-04-30
2013-05-31,0.0,44.0,52.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,2013-05-31
2013-06-30,0.0,51.0,16.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,2013-06-30
2013-07-31,0.0,38.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,2013-07-31
2013-08-31,0.0,57.0,32.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,1.0,218.0,0.0,2013-08-31
2013-09-30,0.0,10.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,2013-09-30
2013-10-31,0.0,49.0,30.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,73.0,0.0,2013-10-31
2013-11-30,0.0,40.0,46.0,0.0,11.0,7.0,0.0,0.0,1.0,0.0,0.0,146.0,0.0,2013-11-30
2013-12-31,0.0,42.0,23.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,101.0,0.0,2013-12-31
2014-01-31,0.0,39.0,17.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,103.0,0.0,2014-01-31
2014-02-28,0.0,50.0,11.0,0.0,10.0,3.0,0.0,0.0,0.0,3.0,0.0,87.0,0.0,2014-02-28
2014-03-31,0.0,43.0,17.0,0.0,9.0,9.0,0.0,0.0,1.0,4.0,2.0,84.0,0.0,2014-03-31
2014-04-30,0.0,37.0,9.0,0.0,12.0,4.0,0.0,0.0,0.0,2.0,4.0,86.0,0.0,2014-04-30
2014-05-31,0.0,8.0,11.0,0.0,19.0,1.0,0.0,0.0,1.0,5.0,0.0,75.0,0.0,2014-05-31
2014-06-30,0.0,20.0,22.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,46.0,0.0,2014-06-30
2014-07-31,0.0,38.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,143.0,0.0,2014-07-31
2014-08-31,0.0,19.0,25.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,70.0,0.0,2014-08-31
2014-09-30,0.0,4.0,18.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,29.0,0.0,2014-09-30
2014-10-31,0.0,46.0,43.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,95.0,0.0,2014-10-31
2014-11-30,0.0,51.0,15.0,0.0,3.0,4.0,0.0,0.0,0.0,6.0,0.0,118.0,0.0,2014-11-30
2014-12-31,0.0,21.0,17.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,2014-12-31
2015-01-31,0.0,22.0,17.0,0.0,4.0,4.0,0.0,0.0,5.0,7.0,0.0,72.0,0.0,2015-01-31
2015-02-28,1.0,44.0,15.0,0.0,12.0,1.0,0.0,0.0,2.0,11.0,1.0,43.0,0.0,2015-02-28
2015-03-31,7.0,28.0,20.0,0.0,10.0,11.0,0.0,1.0,8.0,23.0,0.0,78.0,0.0,2015-03-31
2015-04-30,3.0,27.0,16.0,0.0,12.0,4.0,0.0,0.0,27.0,8.0,0.0,83.0,0.0,2015-04-30
2015-05-31,1.0,14.0,21.0,0.0,2.0,1.0,0.0,2.0,2.0,16.0,0.0,55.0,0.0,2015-05-31
2015-06-30,12.0,23.0,15.0,0.0,0.0,1.0,0.0,0.0,32.0,12.0,0.0,25.0,0.0,2015-06-30
2015-07-31,0.0,10.0,16.0,0.0,1.0,0.0,0.0,0.0,11.0,3.0,0.0,11.0,0.0,2015-07-31
2015-08-31,7.0,19.0,10.0,0.0,4.0,1.0,0.0,8.0,9.0,22.0,0.0,21.0,0.0,2015-08-31
2015-09-30,0.0,7.0,7.0,0.0,8.0,0.0,0.0,5.0,22.0,5.0,0.0,21.0,0.0,2015-09-30
2015-10-31,22.0,7.0,16.0,0.0,1.0,1.0,0.0,3.0,54.0,13.0,0.0,27.0,0.0,2015-10-31
2015-11-30,2.0,20.0,20.0,0.0,5.0,4.0,0.0,2.0,43.0,12.0,0.0,8.0,0.0,2015-11-30
2015-12-31,4.0,21.0,7.0,0.0,6.0,4.0,0.0,1.0,40.0,5.0,0.0,18.0,0.0,2015-12-31
2016-01-31,9.0,41.0,16.0,0.0,13.0,3.0,0.0,2.0,76.0,10.0,0.0,1.0,0.0,2016-01-31
2016-02-29,11.0,38.0,15.0,0.0,4.0,1.0,0.0,1.0,105.0,10.0,0.0,0.0,0.0,2016-02-29
2016-03-31,10.0,19.0,15.0,0.0,3.0,3.0,0.0,2.0,30.0,22.0,1.0,0.0,0.0,2016-03-31
2016-04-30,14.0,39.0,19.0,0.0,7.0,6.0,0.0,2.0,73.0,18.0,0.0,4.0,0.0,2016-04-30
2016-05-31,6.0,34.0,8.0,0.0,7.0,3.0,0.0,1.0,62.0,11.0,0.0,0.0,0.0,2016-05-31
2016-06-30,5.0,21.0,11.0,0.0,3.0,0.0,0.0,0.0,42.0,11.0,0.0,0.0,0.0,2016-06-30
2016-07-31,0.0,24.0,8.0,0.0,1.0,0.0,0.0,0.0,33.0,3.0,0.0,0.0,0.0,2016-07-31
2016-08-31,8.0,30.0,14.0,0.0,5.0,8.0,0.0,1.0,57.0,9.0,0.0,1.0,0.0,2016-08-31
2016-09-30,9.0,15.0,5.0,0.0,9.0,2.0,0.0,0.0,43.0,5.0,0.0,0.0,0.0,2016-09-30
2016-10-31,10.0,42.0,5.0,0.0,8.0,1.0,0.0,0.0,23.0,10.0,0.0,0.0,0.0,2016-10-31
2016-11-30,11.0,51.0,11.0,0.0,2.0,1.0,0.0,2.0,85.0,9.0,0.0,0.0,0.0,2016-11-30
2016-12-31,7.0,25.0,6.0,0.0,0.0,1.0,0.0,2.0,32.0,6.0,0.0,0.0,0.0,2016-12-31
2017-01-31,21.0,48.0,14.0,0.0,0.0,0.0,0.0,3.0,116.0,27.0,0.0,1.0,0.0,2017-01-31
2017-02-28,9.0,23.0,2.0,0.0,6.0,0.0,0.0,1.0,61.0,17.0,0.0,0.0,0.0,2017-02-28
2017-03-31,8.0,46.0,17.0,0.0,2.0,0.0,0.0,2.0,102.0,21.0,0.0,0.0,0.0,2017-03-31
2017-04-30,13.0,29.0,9.0,0.0,2.0,0.0,0.0,2.0,32.0,11.0,0.0,0.0,0.0,2017-04-30
2017-05-31,2.0,40.0,11.0,0.0,0.0,0.0,0.0,4.0,62.0,18.0,0.0,0.0,0.0,2017-05-31
2017-06-30,6.0,18.0,16.0,0.0,0.0,0.0,0.0,3.0,58.0,18.0,0.0,0.0,0.0,2017-06-30
2017-07-31,7.0,22.0,16.0,0.0,0.0,0.0,0.0,1.0,21.0,3.0,0.0,0.0,0.0,2017-07-31
2017-08-31,4.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,0.0,4.0,0.0,2017-08-31
2017-09-30,5.0,11.0,5.0,0.0,2.0,0.0,0.0,0.0,24.0,27.0,0.0,0.0,0.0,2017-09-30
2017-10-31,3.0,41.0,12.0,0.0,0.0,0.0,0.0,2.0,65.0,17.0,0.0,3.0,0.0,2017-10-31
2017-11-30,5.0,17.0,5.0,0.0,0.0,0.0,0.0,2.0,39.0,9.0,0.0,1.0,0.0,2017-11-30
2017-12-31,5.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,0.0,0.0,0.0,2017-12-31
2018-01-31,2.0,30.0,6.0,0.0,0.0,0.0,0.0,1.0,45.0,8.0,0.0,0.0,0.0,2018-01-31
2018-02-28,12.0,38.0,11.0,0.0,0.0,0.0,0.0,1.0,103.0,12.0,0.0,0.0,0.0,2018-02-28
2018-03-31,4.0,16.0,9.0,0.0,2.0,0.0,0.0,5.0,30.0,5.0,0.0,0.0,0.0,2018-03-31
2018-04-30,4.0,31.0,8.0,0.0,1.0,0.0,0.0,0.0,41.0,3.0,0.0,0.0,0.0,2018-04-30
2018-05-31,3.0,31.0,17.0,0.0,0.0,0.0,0.0,2.0,59.0,8.0,0.0,1.0,0.0,2018-05-31
2018-06-30,12.0,24.0,10.0,0.0,0.0,0.0,0.0,3.0,24.0,5.0,0.0,0.0,0.0,2018-06-30
2018-07-31,2.0,11.0,10.0,0.0,0.0,0.0,0.0,1.0,16.0,5.0,0.0,0.0,0.0,2018-07-31
2018-08-31,4.0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,20.0,21.0,0.0,0.0,0.0,2018-08-31
2018-09-30,8.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,19.0,15.0,0.0,0.0,0.0,2018-09-30
2018-10-31,0.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,48.0,13.0,0.0,1.0,0.0,2018-10-31
2018-11-30,2.0,32.0,8.0,0.0,0.0,0.0,0.0,5.0,48.0,15.0,0.0,1.0,0.0,2018-11-30
2018-12-31,4.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,34.0,6.0,0.0,0.0,0.0,2018-12-31
2019-01-31,4.0,24.0,21.0,0.0,1.0,1.0,2.0,10.0,48.0,10.0,0.0,30.0,0.0,2019-01-31
2019-02-28,2.0,30.0,10.0,0.0,2.0,0.0,0.0,4.0,34.0,19.0,0.0,2.0,0.0,2019-02-28
2019-03-31,2.0,36.0,20.0,0.0,0.0,0.0,0.0,4.0,71.0,17.0,0.0,1.0,0.0,2019-03-31
2019-04-30,0.0,21.0,12.0,0.0,0.0,0.0,0.0,7.0,9.0,9.0,0.0,59.0,0.0,2019-04-30
2019-05-31,1.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,9.0,3.0,0.0,10.0,0.0,2019-05-31
2019-06-30,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,5.0,0.0,2019-06-30
2019-07-31,3.0,22.0,3.0,0.0,6.0,0.0,0.0,0.0,6.0,3.0,0.0,8.0,0.0,2019-07-31
2019-08-31,6.0,27.0,18.0,0.0,2.0,0.0,7.0,3.0,27.0,13.0,0.0,69.0,0.0,2019-08-31
2019-09-30,7.0,1.0,9.0,0.0,15.0,0.0,1.0,0.0,3.0,6.0,0.0,21.0,0.0,2019-09-30
2019-10-31,1.0,21.0,8.0,0.0,10.0,0.0,1.0,2.0,11.0,1.0,0.0,49.0,0.0,2019-10-31
2019-11-30,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,0.0,15.0,0.0,2019-11-30
2019-12-31,4.0,9.0,5.0,0.0,1.0,0.0,1.0,4.0,8.0,3.0,0.0,16.0,0.0,2019-12-31
